Model,Feature_Selection,Dimensionality_Reduction_Technique,CV MSE Mean,CV MSE SD,CV MAE Mean,CV MAE SD,Final MSE,Final MAE
ABR-L,None,None,20.47435655484414,10.865498526891399,2.319276465656059,0.5628364976102692,57.37773820963967,3.14498371998372
ABR-L,ANOVA1,None,18.351210681812454,11.827175889084257,2.229222077922078,0.87318421910461,91.78230982880183,3.502113271344041
ABR-L,ANOVA2,None,21.13182213111048,12.104448266923058,2.191766844266844,0.3464946891617809,73.62228738059528,3.912157715243015
ABR-L,ANOVA3,None,22.94384890869297,11.83565842726428,2.283225630578572,0.645000087036835,63.082344419825304,3.3700265251989387
ABR-L,CHISQ1,None,24.70307775028834,14.728302843337282,2.7912267732267733,1.0064486672044655,76.42751895192973,4.0591815591815585
ABR-L,CHISQ2,None,39.444171303231386,28.414036346519392,3.1310429209827606,1.2396167718295508,67.33952226280392,3.121243763777701
ABR-L,CHISQ3,None,20.287560195826266,10.335630365472355,2.2074129397172877,0.596977760100819,52.977954432636764,3.108753089016247
ABR-L,MIT1,None,21.918178443453712,13.811400939848705,2.4323378583435553,0.9533706316912814,93.05969999635262,3.684803622303622
ABR-L,MIT2,None,26.10333608915235,13.211435820911433,2.645103966701134,0.7167858650335748,59.43539827036869,2.4751479289940828
ABR-L,MIT3,None,21.191332509941468,10.762636937751722,2.3299550731502605,0.4942515830172659,63.88478810543418,3.2445824290651877
ABR-L,PCR1,None,21.23508700290035,12.488895845606182,2.379129088626046,0.8857125404969799,110.48801995663467,4.711344211344212
ABR-L,PCR2,None,24.66173400367193,12.90559678069551,2.442774222658433,0.7336375882892971,75.60985623104298,4.1478174603174605
ABR-L,PCR3,None,17.06894445171137,14.136662872608197,1.7603678929765885,0.6542069500395069,71.40607404635331,3.7837915596536287
ABR-L,RFE1,None,27.970848358244147,19.535668176525757,2.7851497234649405,1.2159324707872403,93.45054509419157,3.712472527472528
ABR-L,RFE2,None,24.567487414453016,6.642783743699848,2.890953917146431,0.4730731109543759,84.65466899496417,4.285366217492914
ABR-L,RFE3,None,19.186754519658358,10.595629249228137,2.2850689028479083,0.566160828849048,70.01653439547466,3.401438561438561
ABR-L,None,DL1,1713.7267423713238,1571.9789206200448,28.410898458266878,19.801424387288485,1661.4573833368847,29.425101214574894
ABR-L,None,DL2,874.9170883410432,764.1035273683377,18.6881313253809,9.965837818812187,1466.4173149727505,26.438282647584973
ABR-L,None,DL3,862.5594666008412,1003.0680949920283,17.779982174688058,12.729596650627824,1374.923076923077,25.384615384615383
ABR-L,None,FA1,77.63988856668902,39.537200360571966,5.445758339699516,1.8626738240412464,68.1531438034188,3.6793589743589745
ABR-L,None,FA2,81.43649263668598,39.97666958523967,5.669110339981648,2.2047935395911513,87.63056846692449,4.322923652235066
ABR-L,None,FA3,38.95546274076814,23.172473763170256,3.7344706214369174,1.3264931985576771,56.24054241237314,4.371584055112484
ABR-L,None,ICA1,78.92111645051175,40.18169743433996,5.738793398133551,1.8787951731446304,97.37512817876066,5.137204142011834
ABR-L,None,ICA2,157.40578476736724,201.83667669841344,6.4759834334052595,3.7002200014072386,87.90746338800813,4.948816466578174
ABR-L,None,ICA3,53.66030020007213,22.94044038195006,4.370322948699672,1.2366886102356442,57.58471320842183,4.964706020475251
